row_type,name,status_or_metric,value,unit,query_advance_ratio_j,query_rpm,observed_neighbor_rows,minimum_neighbor_rows_required,ct_coefficient,cp_coefficient,eta,max_ct_shape_overshoot,min_cp_coefficient,eta_residual,static_anchor_error,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_source,propeller_archive_fingerprint,source,PropellerArchiveSourceFingerprint,java,,,,,,,,,,,false,false,review-source-license-before-binding-rows,source identity and current import boundary
propeller_archive_ct_cp_j_lookup_execution_source,lookup_seed,source,PropellerArchiveCtCpJLookupSeed,java,,,,,,,,,,,false,false,feed-reviewed-rows-from-offline-import,defines CT/CP/J payload fields and preset domains
propeller_archive_ct_cp_j_lookup_execution_source,query_envelope,source,PropellerArchiveCtCpJLookupQueryEnvelope,java,,,,,,,,,,,false,false,reject-query-until-reviewed-extrapolation-policy,defines deterministic J/RPM query cases
propeller_archive_ct_cp_j_lookup_execution_source,interpolation_policy,source,PropellerArchiveCtCpJLookupInterpolationPolicy,java,,,,,,,,,,,false,false,validate-reviewed-row-grid-before-execution,defines minimum neighbor and guard policy
propeller_archive_ct_cp_j_lookup_execution_source,scattered_fit_execution_handoff,source,PropellerArchiveCtCpJScatteredSurfaceFitExecutionHandoff,java,,,,,,,,,,,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,requires fit-ready execution input shape before lookup runner consumes rows
propeller_archive_ct_cp_j_lookup_execution_source,acceptance_gate,source,PropellerArchiveCtCpJLookupAcceptanceGate,java,,,,,,,,,,,false,false,feed-acceptance-gate-with-execution-results,receives observed neighbor/shape/power/eta/static metrics
propeller_archive_ct_cp_j_lookup_execution_source,openfoam_lookup_support,source,PropellerArchiveCtCpJOpenFoamLookupSupportGate,java,,,,,,,,,,,false,false,keep-cfd-support-separate-from-wind-tunnel-acceptance,CFD support cannot replace reviewed lookup acceptance
propeller_archive_ct_cp_j_lookup_execution_source,execution_contract,source,PropellerArchiveCtCpJLookupExecutionContract,java,,,,,,,,,,,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,this packet
propeller_archive_ct_cp_j_lookup_execution_rule,source_license_review,required,false,boolean,,,,,,,,,,,false,false,review-source-license-before-binding-rows,raw rows must be reviewed before execution input can be trusted
propeller_archive_ct_cp_j_lookup_execution_rule,caller_supplied_reviewed_rows,required,false,boolean,,,,,,,,,,,false,false,feed-reviewed-rows-from-offline-import,runner receives reviewed rows from offline import path only
propeller_archive_ct_cp_j_lookup_execution_rule,scattered_fit_execution_handoff_ready,required,false,boolean,,,,,,,,,,,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,handoff must be ready before execution consumes reviewed rows
propeller_archive_ct_cp_j_lookup_execution_rule,finite_sorted_grid,required,false,boolean,,,,,,,,,,,false,false,validate-reviewed-row-grid-before-execution,J/RPM grid rows must be finite positive and duplicate-free
propeller_archive_ct_cp_j_lookup_execution_rule,reject_extrapolation,required,true,boolean,,,,,,,,,,,false,false,keep-extrapolation-disabled-until-reviewed,queries outside reviewed J/RPM brackets are rejected
propeller_archive_ct_cp_j_lookup_execution_rule,minimum_neighbor_rows,required,false,boolean,,,,,,,,,,,false,false,feed-all-required-bracketing-neighbors,observed neighbors must meet interpolation policy
propeller_archive_ct_cp_j_lookup_execution_rule,shape_preserving_ct,required,false,boolean,,,,,,,,,,,false,false,verify-ct-shape-guard-before-acceptance,interpolated CT cannot exceed neighbor extrema
propeller_archive_ct_cp_j_lookup_execution_rule,cp_eta_static_guards,required,false,boolean,,,,,,,,,,,false,false,verify-cp-eta-static-guards-before-acceptance,CP positive eta-consistent and static anchors exact
