row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_disk_gradient_packet_source_inventory,a4mc_gameplay_sample,source_description,"GameplayWindSample exposes mean/effective/gust velocity, pressure, turbulence, shear, shelter, confidence, and ABL diagnostics used by FPV Dronecraft.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,disk_gradient_source_inventory,Reference surface for A4MC disk-gradient calibration packet.
a4mc_disk_gradient_packet_source_inventory,a4mc_minecraft_api,source_description,AeroMinecraftWindApi supplies runtime gameplay samples without adding Aerodynamics4MC classes to drone-sim-core.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/src/main/java/com/aerodynamics4mc/api/minecraft/AeroMinecraftWindApi.java,disk_gradient_source_inventory,Reference surface for A4MC disk-gradient calibration packet.
a4mc_disk_gradient_packet_source_inventory,fpv_drone_entity_disk_sampler,source_description,"DroneEntity samples rotor-center and disk-edge A4MC flow, applies per-sample quality during wind and pressure-gradient blending, then passes adopted disk gradients into the core.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java,,disk_gradient_source_inventory,Reference surface for A4MC disk-gradient calibration packet.
a4mc_disk_gradient_packet_source_inventory,fpv_core_disk_gradient_response,source_description,"DronePhysics maps rotor disk wind gradient into thrust loss, load, vibration, stall, and flapping proxies.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,disk_gradient_source_inventory,Reference surface for A4MC disk-gradient calibration packet.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,input_raw_a4mc_disk_gradient_mps,0,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,input_source_quality_factor,0,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,input_spin_ratio,0.12,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,core_adopted_disk_gradient_mps,0,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,core_tip_speed_mps,23.2507975392,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,core_gradient_over_tip_speed,0,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,core_steady_thrust_fraction_proxy,0.0144,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,core_steady_thrust_newtons_proxy,0.1944,N,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,core_disk_gradient_thrust_scale,1,multiplier,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
a4mc_disk_gradient_packet_response_matrix,racingQuad_idle_raw_0_quality_0,core_disk_gradient_thrust_loss_fraction,0,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/main/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_core_disk_gradient_response_matrix,Synthetic A4MC disk-gradient response matrix mirroring current core formulas before blackbox fitting.
