row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_local_voxel_packet_source_inventory,fabric_a4mc_local_voxel_coupling,source_description,"AerodynamicsWindCoupling maps trusted local L2 A4MC samples into obstacle residual, precipitation exposure, pressure-gradient disk wind, and shelter-gradient side obstruction.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_coupling_source_inventory,Source inventory for the A4MC local-voxel coupling response packet.
a4mc_local_voxel_packet_source_inventory,drone_entity_disk_sampler,source_description,"DroneEntity samples rotor center plus cardinal/diagonal disk-edge points, then applies the local voxel coupling before calling drone-sim-core.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java,,local_voxel_coupling_source_inventory,Source inventory for the A4MC local-voxel coupling response packet.
a4mc_local_voxel_packet_source_inventory,a4mc_gameplay_sample,source_description,"GameplayWindSample exposes source confidence, freshness, pressure anomaly, shelter, and local voxel authority used by this bridge.",text,_reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,,local_voxel_coupling_source_inventory,Source inventory for the A4MC local-voxel coupling response packet.
a4mc_local_voxel_packet_source_inventory,fpv_core_pressure_center_response,source_description,"DronePhysics maps adopted asymmetric local-voxel residual, shelter, and pressure-gradient rotor signals into a bounded airframe pressure-center offset and local-voxel thermal ventilation loss.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,local_voxel_coupling_source_inventory,Source inventory for the A4MC local-voxel coupling response packet.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0,input_confidence,1,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0,input_freshness_age_ticks,0,ticks,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0,input_shelter_factor,0,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0,core_source_quality,1,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0,core_local_voxel_obstacle_coverage,0.32,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0,core_local_obstacle_residual_factor,0.68,multiplier,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0,duplicated_geometric_obstruction_removed_fraction,0.32,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
a4mc_local_voxel_packet_quality_residual_matrix,confidence_1_age_0_shelter_0p35,input_confidence,1,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/AerodynamicsWindCoupling.java,,local_voxel_obstacle_residual_matrix,Source-quality-gated attenuation of duplicate geometric wall/tunnel obstruction.
