row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_source_quality_packet_source_inventory,DroneEnvironment_source_quality_gate,source_file,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java,path,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java,,current_core_quality_gate,Defines the trust/confidence/freshness source-quality factor used by core physics.
a4mc_source_quality_packet_source_inventory,DronePhysics_a4mc_transients,source_file,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,path,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,current_core_transient_response,"Consumes quality-gated A4MC source gust, terrain shear, ABL, and local-voxel ventilation diagnostics."
a4mc_source_quality_packet_source_inventory,DroneEntity_a4mc_boundary,source_file,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java,path,fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java,,current_fabric_boundary,"Passes raw A4MC transient diagnostics while keeping pressure, temperature, and humidity preweighted as environment scalars."
a4mc_source_quality_packet_source_inventory,A4MC_GameplayWindSample_API,source_file,_reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,path,_reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,,reference_mod_api,"Reference API exposes trusted gameplay wind samples with confidence, shelter, shear, pressure, turbulence, and freshness inputs."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,input_trusted_for_gameplay,1,bool,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,input_confidence,1,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,input_freshness_age_ticks,0,ticks,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,input_shelter_factor,0,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,input_shear_per_block,0,1/block,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,source_freshness_factor,1,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,source_quality_factor,1,fraction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,core_source_gust_y_peak_mps,0.4752,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,core_local_voxel_ventilation_efficiency,1,multiplier,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
a4mc_source_quality_packet_response_matrix,trusted_conf_1p00_age_0_shelter_0p00_shear_0p00,core_local_obstacle_residual_factor,0.68,multiplier,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java; fabric-mod/src/main/java/com/tenicana/dronecraft/entity/DroneEntity.java; _reference/Aerodynamics4MC-Core/api/src/main/java/com/aerodynamics4mc/api/GameplayWindSample.java,current_a4mc_quality_response_matrix,"Synthetic A4MC wall-skim/tunnel-mouth response matrix for confidence, freshness, shelter, and shear tuning."
