row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
airframe_cda_guard_packet_source_inventory,IMAV_2022_5in_linear_drag,row_count,25,count,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,5in_quad_low_speed_paper_fit,IMAV reports D=kV for 5-inch three-blade quads over 2.5..12.5 m/s; this packet converts it into speed-specific quadratic guardrails.
airframe_cda_guard_packet_source_inventory,IMAV_2022_5in_linear_drag,mass_min_kg,0.547,kg,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,5in_quad_low_speed_paper_fit,IMAV reports D=kV for 5-inch three-blade quads over 2.5..12.5 m/s; this packet converts it into speed-specific quadratic guardrails.
airframe_cda_guard_packet_source_inventory,IMAV_2022_5in_linear_drag,mass_max_kg,1.067,kg,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,5in_quad_low_speed_paper_fit,IMAV reports D=kV for 5-inch three-blade quads over 2.5..12.5 m/s; this packet converts it into speed-specific quadratic guardrails.
airframe_cda_guard_packet_source_inventory,IMAV_2022_5in_linear_drag,speed_min_m_s,2.5,m/s,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,5in_quad_low_speed_paper_fit,IMAV reports D=kV for 5-inch three-blade quads over 2.5..12.5 m/s; this packet converts it into speed-specific quadratic guardrails.
airframe_cda_guard_packet_source_inventory,IMAV_2022_5in_linear_drag,speed_max_m_s,12.5,m/s,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,5in_quad_low_speed_paper_fit,IMAV reports D=kV for 5-inch three-blade quads over 2.5..12.5 m/s; this packet converts it into speed-specific quadratic guardrails.
airframe_cda_guard_packet_source_inventory,IMAV_2022_5in_linear_drag,linear_drag_k_min_n_per_m_s,0.152589,N/(m/s),docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,5in_quad_low_speed_paper_fit,IMAV reports D=kV for 5-inch three-blade quads over 2.5..12.5 m/s; this packet converts it into speed-specific quadratic guardrails.
airframe_cda_guard_packet_source_inventory,IMAV_2022_5in_linear_drag,linear_drag_k_max_n_per_m_s,0.197829,N/(m/s),docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,5in_quad_low_speed_paper_fit,IMAV reports D=kV for 5-inch three-blade quads over 2.5..12.5 m/s; this packet converts it into speed-specific quadratic guardrails.
airframe_cda_guard_packet_source_inventory,NASA_Fig30_bare_airframe_small_quad_0deg_median,sample_count,5,count,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,wind_tunnel_bare_airframe_lower_bound,"Median of low-precision 0 deg small-quad bare-airframe Drag/q points from NASA Fig. 30. This is a bare-airframe reference, not powered rotor/body interaction drag."
airframe_cda_guard_packet_source_inventory,NASA_Fig30_bare_airframe_small_quad_0deg_median,drag_over_q_ft2_median,0.225,ft^2,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,wind_tunnel_bare_airframe_lower_bound,"Median of low-precision 0 deg small-quad bare-airframe Drag/q points from NASA Fig. 30. This is a bare-airframe reference, not powered rotor/body interaction drag."
airframe_cda_guard_packet_source_inventory,NASA_Fig30_bare_airframe_small_quad_0deg_median,equivalent_cda_m2_median,0.020903184000000002,m^2,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,wind_tunnel_bare_airframe_lower_bound,"Median of low-precision 0 deg small-quad bare-airframe Drag/q points from NASA Fig. 30. This is a bare-airframe reference, not powered rotor/body interaction drag."
