row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,window_rank,flight_id,archive,target_offset_s,profile,offset_from_vmax_s,elapsed_time_s,speed_m_s,horizontal_speed_m_s,roll_rad,pitch_rad,yaw_rad,body_velocity_x_m_s,body_velocity_y_m_s,body_velocity_z_m_s,body_z_forward_projection_signed,body_z_forward_projection_abs,body_z_angle_to_velocity_deg,body_z_tilt_from_world_z_abs_deg,thrust_mean_command,thrust_sum_command,channels_thrust_us,vbat_v,mean_thrust_forward_command_proxy,mean_thrust_forward_proxy_over_current_drag_over_max,mean_thrust_command_over_required_total_over_max,total_command_proxy,current_drag_force_n,current_drag_over_max_thrust,current_required_total_thrust_over_max,current_required_tilt_deg_for_drag_balance,is_vmax_sample
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,source_dataset,Race Against the Machine drone racing dataset,text,docs/data/ratm_thrust_vector_feasibility_packet.csv,https://github.com/tii-racing/drone-racing-dataset,source_inventory,Open-design high-speed FPV dataset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,paper_doi,https://doi.org/10.1109/LRA.2024.3371288,url,docs/data/ratm_thrust_vector_feasibility_packet.csv,https://doi.org/10.1109/LRA.2024.3371288,source_inventory,Companion RA-L paper DOI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,source_window_reference,docs/data/ratm_high_speed_window_reference.csv,path,docs/data/ratm_thrust_vector_feasibility_packet.csv,docs/data/ratm_high_speed_window_reference.csv,source_inventory,Existing local 500 Hz high-speed window reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,source_accel_packet,docs/data/ratm_accel_drag_residual_packet.csv,path,docs/data/ratm_thrust_vector_feasibility_packet.csv,docs/data/ratm_accel_drag_residual_packet.csv,source_inventory,Existing acceleration/drag feasibility packet used for current model constants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,window_sample_count,6006,rows,docs/data/ratm_thrust_vector_feasibility_packet.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,source_inventory,Rows from the selected high-speed windows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,sync_rate_hz,500,Hz,docs/data/ratm_thrust_vector_feasibility_packet.csv,https://github.com/tii-racing/drone-racing-dataset,source_inventory,RATM 500 Hz synchronized CSV rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,high_speed_threshold_m_s,21,m/s,docs/data/ratm_thrust_vector_feasibility_packet.csv,https://github.com/tii-racing/drone-racing-dataset,source_inventory,Threshold used for high-speed sample distributions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,current_racing_mass_kg,1.1,kg,docs/data/ratm_thrust_vector_feasibility_packet.csv,docs/data/ratm_accel_drag_residual_packet.csv,source_inventory,Current racingQuad mass from the existing drag packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,current_racing_max_thrust_n,54,N,docs/data/ratm_thrust_vector_feasibility_packet.csv,docs/data/ratm_accel_drag_residual_packet.csv,source_inventory,Derived from current weight and horizontal thrust margin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_source_inventory,RATM_thrust_vector_inputs,current_racing_drag_c_n_per_m_s2,0.1825,N/(m/s)^2,docs/data/ratm_thrust_vector_feasibility_packet.csv,docs/data/ratm_accel_drag_residual_packet.csv,source_inventory,Current racingQuad X-axis drag demand used for feasibility comparisons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
